ant,蟻
apple,りんご
ball,ボール
bear,くま
cake,ケーキ
cat,ねこ
desk,机
dog,犬
egg,たまご
elephant,象
flower,花
fox,きつね
gorilla,ゴリラ
guitar,ギター
hat,帽子
horse,家
ice,氷
ink,インク
jam,ジャム
juice,ジュース
key,鍵
koala,コアラ
lemon,レモン
lion,ライオン
map,地図
monkey,サル
net,網
nurse,看護師
octopus,タコ
orage,オレンジ
pen,ペン
piano,ピアノ
queen,女王
quiz,クイズ
rabbit,うさぎ
rice,お米
school,学校
sun,太陽
tennis,テニス
tigaer,トラ
umbrella,傘
uncle,おじさん
vet,獣医
water,水
wolf,狼
box,箱
six,六
yacht,ヨット
year,年
zebra,シマウマ
zoo,動物園
shy,恥ずかしがりの
pardon,許す
be from ～,出身地
I'm sorry.,ごめんなさい
Pardon me?,何とおっしゃいましたか？
city,市、都市
just,ちょうど、まさに
Nice to meet you.,お会いできて、うれしいです
problem,問題
want to ～,～したい
No problem.,どういたしまして
quiet,静かな、おとなしい
of,～について
careful,注意深い
polite,礼儀正しい、ていねいな
cheerful,明るい、元気のよい
honest,正直な
social studies,社会科
be good at ～,～が得意である
don't,?しない、してはならない
after,の　あとに
grow,育てる
use,使う
at home,家に、家庭
after school,放課後
very much,たくさん
weekend,週末
but,しかし
befor,～の前に
wow,うわー（驚き）
flip,さっとひっくり返す、急に動かす
look at ～,～の方を見る
question,質問
sure,もちろん
during,その間
break,休憩
tommorrow,明日
any,いつくかの
How many ～ ?,どれぐらい？
girl,少女
